Ticker,Country,Desc
FDNORUS Index,Russia,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGRUSS Index,Russia,World Bank Budget Balance % of GDP
WBEGRUS Index,Russia,World Bank Export Good/Service % of GDP
WBIGRUS Index,Russia,World Bank Import Good/Service % of GDP
WBPIRUS Index,Russia,World Bank CPI (2010 Base 100)
EHUPRU Index,Russia,Unemployment Rate (%)
WBNGMYS Index,Malaysia,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLMALY Index,Malaysia,World Bank Total Gross External Debt USD
FDINMYS Index,Malaysia,World Bank FDI Net Inflows % GDP
WRGDMALY Index,Malaysia,World Bank GDP Constant 2010 Prices USD
BPCGMYS Index,Malaysia,World Bank Domestic Private Sector Credit to GDP
HELDMYDS Index,Malaysia,World Bank Total Short Term Debt
HELDMYLD Index,Malaysia,World Bank Total Long Term Debt
WDBAMALY Index,Malaysia,World Bank Banks' Debt USD
WDBTMALY Index,Malaysia,World Bank Gross External Debt Position
FDNOMYS Index,Malaysia,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGMALA Index,Malaysia,World Bank Budget Balance % of GDP
WBEGMYS Index,Malaysia,World Bank Export Good/Service % of GDP
WBIGMYS Index,Malaysia,World Bank Import Good/Service % of GDP
WBPIMYS Index,Malaysia,World Bank CPI (2010 Base 100)
EHUPMY Index,Malaysia,Unemployment Rate (%)
EHUPTW Index,Taiwan,Unemployment Rate (%)
WBNGMEX Index,Mexico,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLMEXI Index,Mexico,World Bank Total Gross External Debt USD
FDINMEX Index,Mexico,World Bank FDI Net Inflows % GDP
WRGDMEXI Index,Mexico,World Bank GDP Constant 2010 Prices USD
BPCGMEX Index,Mexico,World Bank Domestic Private Sector Credit to GDP
HELDMXDS Index,Mexico,World Bank Total Short Term Debt
HELDMXLD Index,Mexico,World Bank Total Long Term Debt
WDBAMEXI Index,Mexico,World Bank Banks' Debt USD
WDBTMEXI Index,Mexico,World Bank Gross External Debt Position
FDNOMEX Index,Mexico,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGMEXI Index,Mexico,World Bank Budget Balance % of GDP
WBEGMEX Index,Mexico,World Bank Export Good/Service % of GDP
WBIGMEX Index,Mexico,World Bank Import Good/Service % of GDP
WBPIMEX Index,Mexico,World Bank CPI (2010 Base 100)
EHUPMX Index,Mexico,Unemployment Rate (%)
WBNGKOR Index,South Korea,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLKORE Index,South Korea,World Bank Total Gross External Debt USD
WRGDRKOR Index,South Korea,World Bank GDP Constant 2010 Prices USD
BPCGKOR Index,South Korea,World Bank Domestic Private Sector Credit to GDP
HELDKRDS Index,South Korea,World Bank Total Short Term Debt
HELDKRLD Index,South Korea,World Bank Total Long Term Debt
WDBAKORE Index,South Korea,World Bank Banks' Debt USD
WDBTKORE Index,South Korea,World Bank Gross External Debt Position
FDNOKOR Index,South Korea,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGKORE Index,South Korea,World Bank Budget Balance % of GDP
WBEGKOR Index,South Korea,World Bank Export Good/Service % of GDP
WBIGKOR Index,South Korea,World Bank Import Good/Service % of GDP
WBPIKOR Index,South Korea,World Bank CPI (2010 Base 100)
EHUPKR Index,South Korea,Unemployment Rate (%)
WBNGBRA index,Brazil,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLBRAZ index,Brazil,World Bank Total Gross External Debt USD
FDINBRA index,Brazil,World Bank FDI Net Inflows % GDP
WRGDBRAZ index,Brazil,World Bank GDP Constant 2010 Prices USD
BPCGBRA index,Brazil,World Bank Domestic Private Sector Credit to GDP
HELDBRDS index,Brazil,World Bank Total Short Term Debt
HELDBRLD index,Brazil,World Bank Total Long Term Debt
WDBABRAZ index,Brazil,World Bank Banks' Debt USD
WDBTBRAZ index,Brazil,World Bank Gross External Debt Position
FDNOBRA index,Brazil,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGBRAZ index,Brazil,World Bank Budget Balance % of GDP
WBEGBRA index,Brazil,World Bank Export Good/Service % of GDP
WBIGBRA index,Brazil,World Bank Import Good/Service % of GDP
WBPIBRA index,Brazil,World Bank CPI (2010 Base 100)
EHUPBR index,Brazil,Unemployment Rate (%)
WBNGISL Index,Iceland,World Bank Bank NonPerforming Loans to Total Gross Loans %
WDTLICEL Index,Iceland,World Bank Total Gross External Debt USD
FDINISL Index,Iceland,World Bank FDI Net Inflows % GDP
WRGDICEL Index,Iceland,World Bank GDP Constant 2010 Prices USD
BPCGISL Index,Iceland,World Bank Domestic Private Sector Credit to GDP
HELDISDS Index,Iceland,World Bank Total Short Term Debt
HELDISLD Index,Iceland,World Bank Total Long Term Debt
FDNOISL Index,Iceland,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGICEL Index,Iceland,World Bank Budget Balance % of GDP
WBEGISL Index,Iceland,World Bank Export Good/Service % of GDP
WBIGISL Index,Iceland,World Bank Import Good/Service % of GDP
WBPIISL Index,Iceland,World Bank CPI (2010 Base 100)
EHUPIS Index,Iceland,Unemployment Rate (%)
FDNONZL Index,New Zealand,World Bank Foreign Direct Investment Net Outflows % of GDP
WBBGNEWZ Index,New Zealand,World Bank Budget Balance % of GDP
WBEGNZL Index,New Zealand,World Bank Export Good/Service % of GDP
WBIGNZL Index,New Zealand,World Bank Import Good/Service % of GDP
WBPINZL Index,New Zealand,World Bank CPI (2010 Base 100)
EHUPNZ Index,New Zealand,Unemployment Rate (%)
WBEGDNK Index,Denmark,World Bank Export Good/Service % of GDP
WBIGDNK Index,Denmark,World Bank Import Good/Service % of GDP
WBPIDNK Index,Denmark,World Bank CPI (2010 Base 100)
EHUPDK Index,Denmark,Unemployment Rate (%)
MCGDITAL Index,Italy,GDP to Market Cap ratio
MCGDPORT Index,Portugal,GDP to Market Cap ratio
MCGDNORW Index,Norway,GDP to Market Cap ratio
MCGDBELG Index,Belgium,GDP to Market Cap ratio
MCGDISRA Index,Israel,GDP to Market Cap ratio
MCGDSWED Index,Sweden,GDP to Market Cap ratio
MCGDNEWZ Index,New Zealand,GDP to Market Cap ratio
MCGDIREL Index,Ireland,GDP to Market Cap ratio
MCGDFINL Index,Finland,GDP to Market Cap ratio
MCGDDENM Index,Denmark,GDP to Market Cap ratio
MCGDAUST Index,Australia,GDP to Market Cap ratio
MCGDGERM Index,Germany,GDP to Market Cap ratio
MCGDHK Index,Hong Kong,GDP to Market Cap ratio
MCGDJAPA Index,Japan,GDP to Market Cap ratio
MCGDSWIT Index,Switzerland,GDP to Market Cap ratio
MCGDNETH Index,Netherlands,GDP to Market Cap ratio
MCGDAUSR Index,Austria,GDP to Market Cap ratio
MCGDSPAI Index,Spain,GDP to Market Cap ratio
MCGDFRAN Index,France,GDP to Market Cap ratio
MCGDSING Index,Singapore,GDP to Market Cap ratio
MCGDUK Index,United Kingdom,GDP to Market Cap ratio
MCGDTHAI Index,Thailand,GDP to Market Cap ratio
MCGDCHIL Index,Chile,GDP to Market Cap ratio
MCGDTURK Index,Turkey,GDP to Market Cap ratio
MCGDSAF Index,South Africa,GDP to Market Cap ratio
MCGDCHIN Index,China,GDP to Market Cap ratio
MCGDINDO Index,Indonesia,GDP to Market Cap ratio
MCGDPHIL Index,Philippines,GDP to Market Cap ratio
MCGDINDI Index,India,GDP to Market Cap ratio
MCGDPOLA Index,Poland,GDP to Market Cap ratio
MCGDRUSS Index,Russia,GDP to Market Cap ratio
MCGDMALA Index,Malaysia,GDP to Market Cap ratio
MCGDTAIW Index,Taiwan,GDP to Market Cap ratio
MCGDMEX Index,Mexico,GDP to Market Cap ratio
MCGDSK Index,South Korea,GDP to Market Cap ratio
MCGDBRAZ Index,Brazil,GDP to Market Cap ratio
MCGDICEL Index,Iceland,GDP to Market Cap ratio
